# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 1000 bp upstream, 1000 bp downstream, 30000 bp max extension, curated regulatory domains included
A1BG	unnamed (+22875)
NUTF2	unnamed (+53), unnamed (+407)
NUTM1	unnamed (-169)
NVL	unnamed (-13358)
NWD1	unnamed (+6974)
NXF2	unnamed (-74)
NXF2B	unnamed (+23154)
NXN	unnamed (-8981), unnamed (-2758), unnamed (+22670)
NXPE1	unnamed (+18329), unnamed (+19003)
NXPH1	unnamed (-29654), unnamed (+9303)
NXPH3	unnamed (-20787), unnamed (-19427), unnamed (-9631), unnamed (+8217)
NXT1	unnamed (+7469)
NXT2	unnamed (+1334)
NYAP1	unnamed (+1758)
NYNRIN	unnamed (-21059), unnamed (-9332), unnamed (-5036)
OAF	unnamed (-12136), unnamed (-4955), unnamed (-158), unnamed (+398)
OAS2	unnamed (-4265)
OASL	unnamed (-11671), unnamed (-7512), unnamed (+19198)
OAT	unnamed (-2017), unnamed (+610)
OAZ1	unnamed (-5713), unnamed (-2853), unnamed (-75)
OAZ2	unnamed (-23037)
OAZ3	unnamed (+7209)
OBP2A	unnamed (-688)
OBP2B	unnamed (+16852), unnamed (+23100)
OBSCN	unnamed (-18211), unnamed (-8932), unnamed (+5533)
OBSL1	unnamed (+19589)
OC90	unnamed (+9595)
OCIAD1	unnamed (-156)
OCLM	unnamed (+25781)
OCLN	unnamed (+11948)
OCM	unnamed (-8004), unnamed (+16675)
OCM2	unnamed (-10445), unnamed (+16583), unnamed (+18524)
OCRL	unnamed (-6174)
OCSTAMP	unnamed (+4067)
ODC1	unnamed (-302), unnamed (+483)
ODF1	unnamed (-2356)
ODF2	unnamed (-27627), unnamed (-13112), unnamed (-9814), unnamed (-459), unnamed (+471)
ODF2L	unnamed (-20254), unnamed (-13428)
ODF3L2	unnamed (-14059), unnamed (-5420)
OFD1	unnamed (+8202)
OGDH	unnamed (-144), unnamed (+407), unnamed (+10731), unnamed (+27015), unnamed (+28549)
OGDHL	unnamed (-26), unnamed (+7165)
OGFOD2	unnamed (-28232), unnamed (-582), unnamed (+120)
OGFOD3	unnamed (-9958)
OGFR	unnamed (-509)
OGG1	unnamed (+16139)
OGN	unnamed (-2231)
OGT	unnamed (-144)
OIT3	unnamed (-3958), unnamed (+10713)
OLA1	unnamed (-7805), unnamed (-147), unnamed (+7462), unnamed (+23631)
OLAH	unnamed (-8381)
OLFM2	unnamed (-217)
OLFML2A	unnamed (-2711)
OLFML2B	unnamed (-11824), unnamed (+26336)
OLIG2	unnamed (-25354), unnamed (-22278), unnamed (-11451), unnamed (+2971)
OMA1	unnamed (-17905), unnamed (+507)
OMD	unnamed (+17671)
OMG	unnamed (+1754)
OMP	unnamed (+2942)
OPA1	unnamed (-11627), unnamed (+43)
OPA3	unnamed (-6291), unnamed (+291)
OPALIN	unnamed (-16076), unnamed (+22003)
OPLAH	unnamed (-6637), unnamed (+981), unnamed (+16799)
OPN1LW	unnamed (+28404)
OPN1MW	unnamed (-9968), unnamed (-5738), unnamed (+27169)
OPN1MW2	unnamed (-9991), unnamed (+27819)
OPN1MW3	unnamed (-9963), unnamed (-5738), unnamed (+27148)
OPN3	unnamed (-26580)
OPN4	unnamed (-28789), unnamed (-21560), unnamed (+9636)
OPRD1	unnamed (-33)
OPTC	unnamed (+7652)
OPTN	unnamed (-17888), unnamed (+5252)
OR10AD1	unnamed (+3263)
OR10D3	unnamed (+11051), unnamed (+23281)
OR10G3	unnamed (-9717)
OR10H1	unnamed (-20286), unnamed (-13322)
OR10H2	unnamed (-25183)
OR10P1	unnamed (-17028), unnamed (+16405)
OR10V1	unnamed (+6814)
OR11G2	unnamed (-27593), unnamed (-19771), unnamed (+19444)
OR11H6	unnamed (-6930)
OR13A1	unnamed (-736), unnamed (+29759)
OR14I1	unnamed (-25164), unnamed (-9333)
OR1A1	unnamed (+5213)
OR1D5	unnamed (+19717)
OR1E1	unnamed (+27542)
OR1F1	unnamed (-29842)
OR1L6	unnamed (+23769)
OR2A14	unnamed (+4690), unnamed (+25250)
OR2A4	unnamed (+18732)
OR2AG2	unnamed (+26187)
OR2AT4	unnamed (-15556), unnamed (-8716), unnamed (+18519)
OR2B2	unnamed (+235), unnamed (+9193), unnamed (+12038)
OR2B3	unnamed (-10683)
OR2C1	unnamed (-6833)
OR2F2	unnamed (-19427), unnamed (+4466)
OR2H1	unnamed (+26488)
OR2H2	unnamed (-3799), unnamed (+4524)
OR2J3	unnamed (-10220)
OR2S2	unnamed (+1140), unnamed (+8673), unnamed (+20691)
OR2V1	unnamed (-3209), unnamed (+25330), unnamed (+28367), unnamed (+28548)
OR2V2	unnamed (-13800), unnamed (+11839), unnamed (+21018)
OR2Z1	unnamed (-18194), unnamed (+10057)
OR4D2	unnamed (+15009)
OR4D5	unnamed (+3039)
OR4D9	unnamed (+26244)
OR4F15	unnamed (+29652)
OR4F16	unnamed (-8801), unnamed (+29665)
OR4F17	unnamed (-28702), unnamed (-27984), unnamed (-26849), unnamed (-12074), unnamed (+21321), unnamed (+21678)
OR4F21	unnamed (-20178), unnamed (-8756)
OR4F29	unnamed (-8768)
OR4F3	unnamed (-20223), unnamed (+321)
OR4F4	unnamed (-29212), unnamed (-14417), unnamed (+16706), unnamed (+17045)
OR4F5	unnamed (-26724), unnamed (-12009), unnamed (+21415), unnamed (+24516)
OR4K13	unnamed (+4775)
OR4K14	unnamed (-11956)
OR51B4	unnamed (+8767), unnamed (+17172), unnamed (+21275)
OR51D1	unnamed (-17719)
OR51V1	unnamed (+28621)
OR52A1	unnamed (-17322), unnamed (+2914)
OR52A5	unnamed (-13592), unnamed (+6200), unnamed (+27496)
OR52B2	unnamed (+13627)
OR52B6	unnamed (-16412)
OR52D1	unnamed (-2236), unnamed (+5717), unnamed (+7952)
OR52E2	unnamed (-3334)
OR52E5	unnamed (+10074)
OR52H1	unnamed (-18916), unnamed (+23054)
OR52K1	unnamed (-9523), unnamed (+10336)
OR52K2	unnamed (+23828)
OR52M1	unnamed (+9562)
OR56A3	unnamed (-7221)
OR56B4	unnamed (+4103)
OR5A1	unnamed (-6335)
OR5A2	unnamed (-3722)
OR5B21	unnamed (-15164)
OR5C1	unnamed (-22861)
OR5K1	unnamed (+19477)
OR5K2	unnamed (-14926)
OR5T3	unnamed (+25631)
OR6B1	unnamed (-15319)
OR6C65	unnamed (+11962)
OR6C68	unnamed (+7072)
OR6C76	unnamed (-13862)
OR6K3	unnamed (-11230)
OR6K6	unnamed (-22770)
OR6M1	unnamed (+6689)
OR6N2	unnamed (-6012)
OR6S1	unnamed (+8573), unnamed (+27986)
OR6T1	unnamed (+1291)
OR7A17	unnamed (-2495)
OR7C1	unnamed (+4375)
OR7C2	unnamed (+12984)
OR7D2	unnamed (+27127)
OR7D4	unnamed (+13483)
OR8G1	unnamed (-25987), unnamed (-16020), unnamed (-2381), unnamed (+8919)
OR8G5	unnamed (-14813), unnamed (+438)
OR8H1	unnamed (+14423)
OR9A2	unnamed (+29453)
ORAI1	unnamed (-1727), unnamed (-150)
ORAI2	unnamed (-13178), unnamed (-12363), unnamed (-70), unnamed (+17988)
ORAI3	unnamed (-7252), unnamed (+2), unnamed (+1145), unnamed (+3683)
ORAOV1	unnamed (-14279), unnamed (-13060), unnamed (-820), unnamed (-29), unnamed (+374), unnamed (+4532)
ORC1	unnamed (-86)
ORC3	unnamed (+973)
ORC4	unnamed (-57)
ORC5	unnamed (+1319)
ORC6	unnamed (-442), unnamed (+1422), unnamed (+25034)
ORM2	unnamed (+10619), unnamed (+19217)
OS9	unnamed (-78)
OSBP	unnamed (-124)
OSBPL11	unnamed (-23313), unnamed (-8226)
OSBPL1A	unnamed (-52)
OSBPL2	unnamed (-15301), unnamed (-10757), unnamed (-1036), unnamed (-297)
OSBPL3	unnamed (+8658)
OSBPL5	unnamed (-24302), unnamed (-4643), unnamed (-4033), unnamed (+8914)
OSBPL8	unnamed (-25883), unnamed (-3252), unnamed (-66), unnamed (+19869)
OSBPL9	unnamed (+5564), unnamed (+20163)
OSCP1	unnamed (+20403)
OSGEP	unnamed (-35)
OSGEPL1	unnamed (-426), unnamed (+195)
OSGIN1	unnamed (+835), unnamed (+4079), unnamed (+4557)
OSGIN2	unnamed (-25), unnamed (+552), unnamed (+10570)
OSM	unnamed (-20587), unnamed (-9026), unnamed (+532), unnamed (+3548), unnamed (+10586)
OSMR	unnamed (-12415)
OSR1	unnamed (+10209)
OSR2	unnamed (-43)
OST4	unnamed (+67), unnamed (+15231)
OSTC	unnamed (-70)
OSTM1	unnamed (-27)
OTC	unnamed (-21089)
OTOA	unnamed (+26442)
OTOP1	unnamed (+1760), unnamed (+25809)
OTOP3	unnamed (+24535), unnamed (+25159)
OTUB1	unnamed (+11278), unnamed (+21549)
OTUB2	unnamed (-27517), unnamed (-53)
OTUD1	unnamed (-434)
OTUD3	unnamed (-10141), unnamed (-4001), unnamed (-154)
OTUD4	unnamed (-22403), unnamed (-3605)
OTUD5	unnamed (+16607), unnamed (+16999), unnamed (+20421)
OTUD6B	unnamed (-3818), unnamed (+40)
OTUD7B	unnamed (-11863), unnamed (-6882), unnamed (-210), unnamed (+3381)
OTULIN	unnamed (+1424), unnamed (+11839)
OTX1	unnamed (-14927)
OVCA2	unnamed (+7899), unnamed (+8526)
OVCH1	unnamed (-20864)
OVCH2	unnamed (+11506)
OVOL1	unnamed (+23217)
OXA1L	unnamed (-12813), unnamed (+376), unnamed (+811), unnamed (+25010)
OXCT1	unnamed (-12932)
OXER1	unnamed (-11780), unnamed (-6502), unnamed (+10870)
OXLD1	unnamed (-9913), unnamed (-35)
OXSR1	unnamed (-14535), unnamed (-8335), unnamed (-470), unnamed (-34)
OXT	unnamed (+5618), unnamed (+6419)
OXTR	unnamed (+29725)
P2RX1	unnamed (-2059), unnamed (+4589), unnamed (+8843)
P2RX3	unnamed (+7237)
P2RX4	unnamed (-23906), unnamed (-19186), unnamed (+309)
P2RX6	unnamed (-97), unnamed (+562), unnamed (+10363)
P2RX7	unnamed (-15322), unnamed (-9156), unnamed (-3597), unnamed (+5670)
P2RY1	unnamed (-6734), unnamed (-4246)
P2RY14	unnamed (-11468)
P2RY2	unnamed (-19460)
P3H3	unnamed (-855)
P3H4	unnamed (+18132)
P4HA1	unnamed (+28)
P4HA2	unnamed (+8946)
P4HB	unnamed (-7576), unnamed (-354)
PA2G4	unnamed (+62), unnamed (+1037)
PAAF1	unnamed (-57)
PABPC1	unnamed (-28073), unnamed (+162), unnamed (+1772), unnamed (+15275)
PABPC1L	unnamed (-11956)
PABPC3	unnamed (-14885)
PABPC4	unnamed (-31), unnamed (+1576)
PABPN1	unnamed (-310)
PABPN1L	unnamed (-7038)
PACRGL	unnamed (-141)
PACS1	unnamed (+3432), unnamed (+10209)
PACS2	unnamed (-7276)
PACSIN1	unnamed (-9158), unnamed (-4768), unnamed (+6549)
PACSIN2	unnamed (-27423), unnamed (-7818), unnamed (-2570), unnamed (-150)
PACSIN3	unnamed (-3719)
PADI3	unnamed (+11345)
PADI4	unnamed (-27129), unnamed (-25712), unnamed (-6215)
PADI6	unnamed (-16113), unnamed (-1366), unnamed (+5255), unnamed (+20213), unnamed (+22858)
PAEP	unnamed (-92), unnamed (+12859), unnamed (+25666), unnamed (+26107)
PAFAH1B1	unnamed (-27531)
PAFAH1B2	unnamed (+27740), unnamed (+28907), unnamed (+29413)
PAFAH1B3	unnamed (+106)
PAFAH2	unnamed (-102), unnamed (+4340)
PAGE3	unnamed (-15111)
PAGE4	unnamed (-91)
PAGE5	unnamed (-13572), unnamed (-72)
PAGR1	unnamed (+163)
PAH	unnamed (+294)
PAICS	unnamed (-674), unnamed (-409), unnamed (+323), unnamed (+1502)
PAIP1	unnamed (-7438), unnamed (+649)
PAIP2	unnamed (-726)
PAK1	unnamed (-319)
PAK1IP1	unnamed (+236), unnamed (+23805)
PAK2	unnamed (+43), unnamed (+17077), unnamed (+19647), unnamed (+23713)
PAK4	unnamed (+14141), unnamed (+25165), unnamed (+28952)
PAK6	unnamed (-3778), unnamed (+27612)
PALB2	unnamed (-9), unnamed (+359)
PALD1	unnamed (-865)
PALM3	unnamed (-22376), unnamed (-924)
PAM	unnamed (-15341)
PAN2	unnamed (-3067), unnamed (-344)
PAN3	unnamed (+960)
PANK1	unnamed (-6148), unnamed (-352), unnamed (+1605)
PANK2	unnamed (+932), unnamed (+21125)
PANK3	unnamed (-48)
PANK4	unnamed (-319)
PANX1	unnamed (+492), unnamed (+1240), unnamed (+7553)
PANX2	unnamed (-21524), unnamed (-18409), unnamed (+9004)
PANX3	unnamed (-3144)
PAPD4	unnamed (-26243), unnamed (-255), unnamed (+1290)
PAPD5	unnamed (-17820)
PAPD7	unnamed (-1984), unnamed (+1277)
PAPLN	unnamed (+22638), unnamed (+28371)
PAPOLA	unnamed (+473)
PAPOLB	unnamed (+22899)
PAPOLG	unnamed (-17227)
PAPPA	unnamed (-10496)
PAPSS1	unnamed (-5259), unnamed (+121), unnamed (+27246)
PAQR5	unnamed (-141), unnamed (+20426), unnamed (+26819)
PAQR6	unnamed (-9292)
PAQR7	unnamed (-27224), unnamed (-17511), unnamed (-4439)
PAQR8	unnamed (-25294), unnamed (-25012), unnamed (+28442)
PAQR9	unnamed (+29755)
PARD3	unnamed (+23206)
PARD6B	unnamed (-23012), unnamed (-9614), unnamed (-6600), unnamed (-310), unnamed (+23860)
PARD6G	unnamed (-15508), unnamed (-10016)
PARG	unnamed (-17251), unnamed (-8195), unnamed (-3407)
PARK7	unnamed (-7421), unnamed (-1380), unnamed (-133), unnamed (+13776), unnamed (+24286)
PARL	unnamed (-26369), unnamed (-2338), unnamed (-37)
PARP10	unnamed (+3644), unnamed (+29678)
PARP15	unnamed (+29428)
PARP16	unnamed (-17904), unnamed (-9315), unnamed (+9708)
PARP2	unnamed (-219), unnamed (+20764)
PARP3	unnamed (-394), unnamed (-92)
PARP6	unnamed (-3857), unnamed (-84)
PARP8	unnamed (+9900)
PARS2	unnamed (-10799), unnamed (-138)
PARVA	unnamed (+11184)
PARVB	unnamed (-13452), unnamed (+27855)
PATL1	unnamed (-288)
PAX6	unnamed (+90)
PAXBP1	unnamed (-8365), unnamed (+84)
PAXIP1	unnamed (-10198), unnamed (-1668)
PAXX	unnamed (+244)
PBDC1	unnamed (-26860), unnamed (-23893)
PBK	unnamed (+237)
PBLD	unnamed (-714)
PBRM1	unnamed (-200), unnamed (+3618)
PBX2	unnamed (+4254)
PBX4	unnamed (-3795), unnamed (+17791), unnamed (+23616)
PBXIP1	unnamed (-40)
PC	unnamed (-28886), unnamed (-20520), unnamed (-294), unnamed (+8202)
PCBD1	unnamed (-2270)
PCBP1	unnamed (-3885), unnamed (-1203), unnamed (-538), unnamed (+21613)
PCBP2	unnamed (-224), unnamed (+525)
PCBP3	unnamed (+2345), unnamed (+19522)
PCCA	unnamed (-49)
PCCB	unnamed (+806)
PCDH12	unnamed (-1124)
PCDH8	unnamed (-3205)
PCDH9	unnamed (+4285)
PCDHB1	unnamed (-9921)
PCDHGA1	unnamed (-6084)
PCDHGA11	unnamed (+1629)
PCDHGA12	unnamed (-7794)
PCDHGA4	unnamed (+1321)
PCDHGB2	unnamed (-3790)
PCED1A	unnamed (+14)
PCF11	unnamed (+47), unnamed (+816), unnamed (+1164)
PCGF1	unnamed (+1234), unnamed (+3305), unnamed (+5156)
PCGF2	unnamed (-101), unnamed (+1320), unnamed (+3240)
PCGF3	unnamed (+26284)
PCID2	unnamed (-19), unnamed (+1799)
PCIF1	unnamed (+706), unnamed (+11966)
PCK1	unnamed (-24579), unnamed (-20669), unnamed (+7223), unnamed (+17128), unnamed (+20291), unnamed (+22160), unnamed (+26353)
PCK2	unnamed (-13115), unnamed (+1496)
PCM1	unnamed (+16)
PCMT1	unnamed (+312), unnamed (+782), unnamed (+6359)
PCMTD2	unnamed (-15567)
PCNA	unnamed (+7116)
PCNP	unnamed (+90)
PCNT	unnamed (-27514), unnamed (-16231), unnamed (-4758), unnamed (-3451), unnamed (-78), unnamed (+2400)
PCNX3	unnamed (+17835), unnamed (+20502)
PCNX4	unnamed (-189), unnamed (+2606)
PCOLCE	unnamed (-5358)
PCOLCE2	unnamed (-17226), unnamed (-5526), unnamed (-3717)
PCOTH	unnamed (-22353), unnamed (-138), unnamed (+546)
PCP4	unnamed (+24457)
PCSK1	unnamed (+24940)
PCSK2	unnamed (+13227)
PCSK6	unnamed (-6819), unnamed (-4878)
PCSK7	unnamed (-87), unnamed (+8092)
PCSK9	unnamed (-3425)
PCTP	unnamed (+432), unnamed (+18310)
PCYOX1	unnamed (+12455)
PCYOX1L	unnamed (-93)
PCYT1A	unnamed (-108), unnamed (+12917)
PCYT2	unnamed (-5366), unnamed (-5011), unnamed (-33), unnamed (+709)
PDAP1	unnamed (-6468), unnamed (-124), unnamed (+177)
PDC	unnamed (-21752)
PDCD1	unnamed (-46), unnamed (+16056)
PDCD10	unnamed (+2343)
PDCD1LG2	unnamed (-28081)
PDCD2	unnamed (-25)
PDCD4	unnamed (-13051), unnamed (-11760), unnamed (-5590), unnamed (+68), unnamed (+850), unnamed (+12446)
PDCD5	unnamed (-10019), unnamed (+29)
PDCD6	unnamed (-45), unnamed (+2451)
PDCD6IP	unnamed (-6678), unnamed (-362), unnamed (-50)
PDCL	unnamed (-8085)
PDCL2	unnamed (-23124), unnamed (+16542), unnamed (+17790)
PDCL3	unnamed (-4639), unnamed (+197)
PDE11A	unnamed (-28740), unnamed (+18), unnamed (+6431)
PDE12	unnamed (-230)
PDE2A	unnamed (-9909), unnamed (+27788)
PDE3B	unnamed (-599)
PDE4A	unnamed (-4751), unnamed (-3881), unnamed (-687)
PDE4B	unnamed (+26647)
PDE4C	unnamed (-2333), unnamed (+15903), unnamed (+24117)
PDE4DIP	unnamed (-27481), unnamed (+3134), unnamed (+4205), unnamed (+12539), unnamed (+29573)
PDE5A	unnamed (-14721)
PDE6B	unnamed (-16003), unnamed (-101), unnamed (+6993), unnamed (+12162), unnamed (+22628)
PDE6G	unnamed (+9443)
PDE7A	unnamed (-212)
PDE8A	unnamed (-29816), unnamed (-25539), unnamed (-19184), unnamed (-11858), unnamed (-10067), unnamed (-61), unnamed (+496)
PDE8B	unnamed (-18537)
PDE9A	unnamed (-8404), unnamed (-2461)
PDF	unnamed (+2406)
PDGFA	unnamed (-14153), unnamed (-3036), unnamed (+3045), unnamed (+21401)
PDGFB	unnamed (-15279), unnamed (-509), unnamed (+3592), unnamed (+7912), unnamed (+18039)
PDGFRB	unnamed (+12188), unnamed (+25677), unnamed (+25971)
PDHA1	unnamed (-9681)
PDHB	unnamed (-224)
PDHX	unnamed (-90)
PDIA3	unnamed (+869)
PDIA4	unnamed (-28035), unnamed (-325)
PDIA5	unnamed (-150), unnamed (+14080)
PDIA6	unnamed (+19618)
PDIK1L	unnamed (-16838), unnamed (-7003), unnamed (-58)
PDILT	unnamed (+22328)
PDK1	unnamed (-1035), unnamed (+22193)
PDK2	unnamed (-44), unnamed (+2445), unnamed (+7053), unnamed (+7628), unnamed (+23996), unnamed (+29993)
PDK3	unnamed (-262)
PDLIM1	unnamed (+13632), unnamed (+14355)
PDLIM2	unnamed (-26006), unnamed (-16729), unnamed (+20016)
PDLIM4	unnamed (+9842)
PDLIM5	unnamed (-24889), unnamed (+17572)
PDLIM7	unnamed (-9806), unnamed (+10273), unnamed (+20526)
PDP1	unnamed (-232)
PDP2	unnamed (-23), unnamed (+402), unnamed (+18893), unnamed (+19785), unnamed (+29573)
PDPK1	unnamed (-3279)
PDPR	unnamed (+580), unnamed (+14424)
PDRG1	unnamed (-1868), unnamed (+3860)
PDS5A	unnamed (-29660), unnamed (-26)
PDSS1	unnamed (-23252), unnamed (-603), unnamed (+269)
PDSS2	unnamed (-25781)
PDX1	unnamed (-86)
PDXK	unnamed (+9542)
PDXP	unnamed (-331), unnamed (+8986)
PDYN	unnamed (+26510), unnamed (+28503)
PDZD4	unnamed (+13477)
PDZD7	unnamed (+12067)
PDZD8	unnamed (-17280), unnamed (-1160), unnamed (-198), unnamed (+17668)
PDZK1IP1	unnamed (-990), unnamed (+8697)
PEA15	unnamed (+726)
PEAK1	unnamed (+10225)
PEAR1	unnamed (-28275), unnamed (-16210), unnamed (-10994), unnamed (-3527), unnamed (+1558), unnamed (+18328), unnamed (+26841)
PEBP1	unnamed (-843), unnamed (+152)
PEBP4	unnamed (-22896), unnamed (-21745), unnamed (+4658), unnamed (+6263), unnamed (+15710), unnamed (+27771)
PECR	unnamed (-18)
PEF1	unnamed (-3461)
PELI1	unnamed (-2189), unnamed (+6683), unnamed (+28326)
PELI3	unnamed (-6524), unnamed (-5944), unnamed (+36), unnamed (+10218)
PELO	unnamed (+6820), unnamed (+25774)
PELP1	unnamed (-66)
PEMT	unnamed (-17631), unnamed (-14113), unnamed (-8439), unnamed (-9)
PEPD	unnamed (-7446), unnamed (-365), unnamed (+7)
PER1	unnamed (-4298), unnamed (-1283), unnamed (-142), unnamed (+1157)
PER2	unnamed (-19834), unnamed (-852), unnamed (-230)
PER3	unnamed (-519), unnamed (-160)
PERM1	unnamed (-12955), unnamed (+2388)
PERP	unnamed (-21856), unnamed (-2914)
PES1	unnamed (+44)
PET117	unnamed (+178)
PEX1	unnamed (-174)
PEX10	unnamed (-1536), unnamed (-97), unnamed (+3472)
PEX11G	unnamed (-16999), unnamed (-5766), unnamed (-113), unnamed (+5319)
PEX12	unnamed (+80), unnamed (+10586), unnamed (+17723)
PEX13	unnamed (-12721), unnamed (-455)
PEX19	unnamed (-6314)
PEX2	unnamed (-14709)
PEX26	unnamed (-29240)
PEX3	unnamed (-696), unnamed (-232)
PEX7	unnamed (-10335), unnamed (-36), unnamed (+469), unnamed (+9527)
PFAS	unnamed (+26)
PFDN1	unnamed (-25434)
PFDN2	unnamed (-1489), unnamed (+566)
PFDN4	unnamed (-19550), unnamed (-11578), unnamed (+21677), unnamed (+27611)
PFDN5	unnamed (-25676)
PFDN6	unnamed (-9093)
PFKFB1	unnamed (+24636)
PFKFB2	unnamed (-11)
PFKFB3	unnamed (-890), unnamed (+17514)
PFKM	unnamed (+442), unnamed (+13857)
PFKP	unnamed (-21477), unnamed (-12983), unnamed (-9371), unnamed (+1152), unnamed (+7048), unnamed (+28319)
PFN1	unnamed (-875)
PFN3	unnamed (-3914), unnamed (+10026)
PGA3	unnamed (-16845)
PGA5	unnamed (+25791), unnamed (+26594)
PGAM2	unnamed (-15749)
PGAM4	unnamed (+27048)
PGAM5	unnamed (-65)
PGAP2	unnamed (+893), unnamed (+23445)
PGBD1	unnamed (+1590)
PGC	unnamed (-6847), unnamed (-5967)
PGF	unnamed (-10743), unnamed (+10282), unnamed (+20869)
PGGHG	unnamed (+353), unnamed (+8749)
PGK1	unnamed (-161)
PGLS	unnamed (-13969), unnamed (-12841), unnamed (-7422), unnamed (+7023), unnamed (+28160)
PGLYRP1	unnamed (+3028), unnamed (+6022)
PGM1	unnamed (-10767), unnamed (+28209)
PGM2	unnamed (-27023)
PGM2L1	unnamed (-1544), unnamed (-288), unnamed (+2969)
PGP	unnamed (-520)
PGPEP1	unnamed (+829)
PGPEP1L	unnamed (-15854), unnamed (+18206)
PGRMC1	unnamed (+1593), unnamed (+6923)
PGRMC2	unnamed (+523), unnamed (+23064)
PGS1	unnamed (-4244)
PHACTR2	unnamed (-4145)
PHACTR3	unnamed (-5736), unnamed (+10388)
PHACTR4	unnamed (+18079)
PHB	unnamed (-221)
PHB2	unnamed (+5492), unnamed (+16823)
PHC1	unnamed (-27078), unnamed (+20652), unnamed (+22277)
PHC2	unnamed (-21149), unnamed (-8968), unnamed (-3575)
PHC3	unnamed (-16364), unnamed (-57)
PHEX	unnamed (-6435)
PHF1	unnamed (-511)
PHF10	unnamed (-1476)
PHF13	unnamed (-9624), unnamed (-21), unnamed (+9867)
PHF19	unnamed (-20382), unnamed (-2570), unnamed (+2216), unnamed (+13485), unnamed (+18341)
PHF2	unnamed (+17789)
PHF20	unnamed (-2763), unnamed (+17), unnamed (+295), unnamed (+4674)
PHF20L1	unnamed (-78), unnamed (+15344), unnamed (+23980)
PHF23	unnamed (+3704)
PHF3	unnamed (-16), unnamed (+1027)
PHF5A	unnamed (-361), unnamed (+20241)
PHF7	unnamed (-17)
PHIP	unnamed (+7627)
PHKA1	unnamed (-19437)
PHKA2	unnamed (-447), unnamed (-141)
PHKB	unnamed (+29350)
PHKG2	unnamed (-103)
PHLDA1	unnamed (+28833)
PHLDA2	unnamed (-14462), unnamed (+10369)
PHLDA3	unnamed (+14934)
PHLDB1	unnamed (-649)
PHLDB3	unnamed (+27051)
PHLPP1	unnamed (-426), unnamed (-158), unnamed (+2119)
PHOSPHO1	unnamed (-11100)
PHOSPHO2	unnamed (-10336)
PHPT1	unnamed (-7143), unnamed (+197)
PHRF1	unnamed (-7895), unnamed (-2110)
PHTF2	unnamed (-415)
PHYH	unnamed (+460)
PHYHD1	unnamed (-28712)
PHYKPL	unnamed (-24188), unnamed (-4079), unnamed (+8856)
PI16	unnamed (+4993), unnamed (+28783)
PI4K2A	unnamed (-102), unnamed (+8496)
PI4K2B	unnamed (-65)
PI4KA	unnamed (-969), unnamed (-13), unnamed (+1339), unnamed (+1712)
PI4KB	unnamed (-13886), unnamed (+15934)
PIANP	unnamed (-3519)
PIAS1	unnamed (-21787), unnamed (-444)
PIAS2	unnamed (-148)
PIAS4	unnamed (-17252), unnamed (+72)
PICALM	unnamed (-10680), unnamed (-361), unnamed (+263), unnamed (+10627)
PICK1	unnamed (-24180), unnamed (-22805), unnamed (-13512)
PIEZO1	unnamed (+3248), unnamed (+11077), unnamed (+12245), unnamed (+14259)
PIF1	unnamed (-10261)
PIFO	unnamed (+302)
PIGA	unnamed (-38)
PIGG	unnamed (-61)
PIGH	unnamed (+4719)
PIGL	unnamed (-68)
PIGM	unnamed (-14662), unnamed (-13859), unnamed (-17)
PIGP	unnamed (-411)
PIGQ	unnamed (-2720), unnamed (+9318)
PIGR	unnamed (-9337), unnamed (-57), unnamed (+7090), unnamed (+20977), unnamed (+21579)
PIGT	unnamed (+11363)
PIGV	unnamed (-16310), unnamed (+10665), unnamed (+17122)
PIGW	unnamed (-52)
PIGZ	unnamed (-14554), unnamed (-2476)
PIH1D2	unnamed (+62), unnamed (+4008)
PIH1D3	unnamed (-29)
PIK3AP1	unnamed (-27765), unnamed (+15171)
PIK3C2A	unnamed (+13268)
PIK3C2B	unnamed (+24153), unnamed (+24546)
PIK3CA	unnamed (+776)
PIK3CB	unnamed (-8936)
PIK3CD	unnamed (-24621), unnamed (-16165), unnamed (-9854)
PIK3CG	unnamed (+6796)
PIK3IP1	unnamed (-3419), unnamed (+1655)
PIK3R2	unnamed (-16901), unnamed (+4258)
PIK3R3	unnamed (-24110), unnamed (-15892), unnamed (-300), unnamed (+18440)
PIK3R4	unnamed (-906)
PIK3R6	unnamed (-21958), unnamed (+8073), unnamed (+20834), unnamed (+29816)
PIKFYVE	unnamed (-123)
PILRA	unnamed (-4030), unnamed (-626), unnamed (+26024)
PILRB	unnamed (-16148), unnamed (-10552), unnamed (-7170), unnamed (+17239)
PIM1	unnamed (-15205), unnamed (-362), unnamed (+2230), unnamed (+10566), unnamed (+13285), unnamed (+19140), unnamed (+21898)
PIM2	unnamed (-22000), unnamed (-21608), unnamed (-18186), unnamed (-1123), unnamed (-82)
PIM3	unnamed (-27000), unnamed (-24276), unnamed (-15153), unnamed (-297), unnamed (+1977), unnamed (+7539), unnamed (+10431), unnamed (+11195)
PIMREG	unnamed (-212)
PIN1	unnamed (+11851)
PINK1	unnamed (-29881), unnamed (-8554), unnamed (-119)
PINLYP	unnamed (+7460)
PINX1	unnamed (-32)
PIP4K2A	unnamed (-23264)
